unit,year,y_recyclingrate,treated
LEE,2004,.40741587,0
HINSDALE,2004,.5974158,0
WINDSOR,2004,.5974158,0
PERU,2004,.34741586,0
HANCOCK,2004,.41741586,0
CHESHIRE,2004,.45741585,0
EGREMONT,2004,.54741585,0
SHEFFIELD,2004,.51741582,0
ALFORD,2004,.38741586,0
OTIS,2004,.33741587,0
SAVOY,2004,.49741587,0
WILLIAMSTOWN,2004,.47741586,0
WINDSOR,2005,.52002138,0
SHEFFIELD,2005,.46002141,0
HINSDALE,2005,.33002141,0
BECKET,2005,.32002142,0
CHESHIRE,2005,.45002142,0
SAVOY,2005,.5000214,0
OTIS,2005,.48002142,0
EGREMONT,2005,.54002142,0
PERU,2005,.39002141,0
ALFORD,2005,.33002141,0
WILLIAMSTOWN,2005,.54002142,0
HANCOCK,2005,.41002142,0
LEE,2005,.34002143,0
CHESHIRE,2006,.44336817,0
LEE,2006,.33336815,0
SAVOY,2006,.45336816,0
WILLIAMSTOWN,2006,.54336816,0
EGREMONT,2006,.55336815,0
SHEFFIELD,2006,.42336816,0
ALFORD,2006,.35336816,0
BECKET,2006,.34336817,0
HANCOCK,2006,.39336815,0
HINSDALE,2006,.38336816,0
OTIS,2006,.35336816,0
WINDSOR,2006,.49336815,0
PERU,2006,.39336815,0
LEE,2007,.28668588,0
PERU,2007,.31668586,0
OTIS,2007,.33668587,0
WILLIAMSTOWN,2007,.35668588,0
ALFORD,2007,.37668589,0
HANCOCK,2007,.46668586,0
CHESHIRE,2007,.43668589,0
SHEFFIELD,2007,.42668587,0
EGREMONT,2007,.53668588,0
HINSDALE,2007,.36668587,0
SAVOY,2007,.53668588,0
WINDSOR,2007,.46668586,0
BECKET,2007,.42668587,0
OTIS,2008,.33036491,0
WILLIAMSTOWN,2008,.3703649,0
ALFORD,2008,.29036489,0
WINDSOR,2008,.53036487,0
PERU,2008,.3403649,0
LEE,2008,.2803649,0
HINSDALE,2008,.39036492,0
EGREMONT,2008,.48036492,0
HANCOCK,2008,.48036492,0
SAVOY,2008,.32036489,0
SHEFFIELD,2008,.42036492,0
BECKET,2008,.36036491,0
CHESHIRE,2008,.45036492,0
RAYNHAM,1997,.30242866,0
BERKLEY,1997,.39242867,0
ATTLEBORO,1997,.41242868,0
FAIRHAVEN,1997,.27242866,0
NORTH ATTLEBOROUGH,1997,.37242866,0
NEW BEDFORD,1997,.19242865,0
DARTMOUTH,1997,.29242864,0
WESTPORT,1997,.50242865,0
SOMERSET,1997,.54242867,0
SEEKONK,1997,.49242866,0
MANSFIELD,1997,.34242865,0
BERKLEY,1998,.44453371,0
FAIRHAVEN,1998,.24453372,0
ATTLEBORO,1998,.38453373,0
RAYNHAM,1998,.25453374,0
MANSFIELD,1998,.33453372,0
NEW BEDFORD,1998,.17453371,0
NORTH ATTLEBOROUGH,1998,.33453372,0
SOMERSET,1998,.54453373,0
WESTPORT,1998,.44453371,0
SEEKONK,1998,.50453371,0
DARTMOUTH,1998,.33453372,0
DARTMOUTH,1999,.37729776,0
SOMERSET,1999,.46729776,0
MANSFIELD,1999,.38729778,0
BERKLEY,1999,.63729775,0
WESTPORT,1999,.50729775,0
NEW BEDFORD,1999,.15729778,0
SEEKONK,1999,.49729776,0
NORTH ATTLEBOROUGH,1999,.60729778,0
RAYNHAM,1999,.30729777,0
ATTLEBORO,1999,.35729778,0
FAIRHAVEN,1999,.31729776,0
ATTLEBORO,2000,.32222408,0
BERKLEY,2000,.57222408,0
WESTPORT,2000,.47222409,0
FAIRHAVEN,2000,.44222409,0
SEEKONK,2000,.50222409,0
RAYNHAM,2000,.50222409,0
MANSFIELD,2000,.56222409,0
NORTH ATTLEBOROUGH,2000,.45222408,0
NEW BEDFORD,2000,.23222409,0
DARTMOUTH,2000,.3622241,0
SOMERSET,2000,.5522241,0
MANSFIELD,2001,.43604726,0
BERKLEY,2001,.55604726,0
NEW BEDFORD,2001,.20604727,0
ATTLEBORO,2001,.36604726,0
SEEKONK,2001,.45604724,0
NORTH ATTLEBOROUGH,2001,.44604725,0
RAYNHAM,2001,.54604727,0
FAIRHAVEN,2001,.41604728,0
SOMERSET,2001,.54604727,0
WESTPORT,2001,.48604727,0
DARTMOUTH,2001,.37604725,0
BERKLEY,2002,.39830405,0
ATTLEBORO,2002,.37830403,0
SOMERSET,2002,.52830404,0
RAYNHAM,2002,.49830404,0
SEEKONK,2002,.54830402,0
NORTH ATTLEBOROUGH,2002,.54830402,0
DARTMOUTH,2002,.23830403,0
FAIRHAVEN,2002,.44830403,0
WESTPORT,2002,.49830404,0
MANSFIELD,2002,.57830405,0
NEW BEDFORD,2002,.24830404,0
ATTLEBORO,2003,.31073242,0
BERKLEY,2003,.43073243,0
NORTH ATTLEBOROUGH,2003,.35073242,0
FAIRHAVEN,2003,.41073242,0
RAYNHAM,2003,.54073244,0
MANSFIELD,2003,.55073243,0
SEEKONK,2003,.48073244,0
SOMERSET,2003,.56073242,0
NEW BEDFORD,2003,.22073244,0
WESTPORT,2003,.47073242,0
DARTMOUTH,2003,.37073243,0
SEEKONK,2004,.51347393,0
ATTLEBORO,2004,.4134739,0
NEW BEDFORD,2004,.22347391,0
SOMERSET,2004,.59347391,0
RAYNHAM,2004,.44347391,0
FAIRHAVEN,2004,.34347391,0
NORTH ATTLEBOROUGH,2004,.2634739,0
MANSFIELD,2004,.56347394,0
WESTPORT,2004,.31347391,0
BERKLEY,2004,.37347391,0
DARTMOUTH,2004,.37347391,0
NEW BEDFORD,2005,.19644177,0
SEEKONK,2005,.52644175,0
DARTMOUTH,2005,.37644181,0
NORTH ATTLEBOROUGH,2005,.45644179,0
FAIRHAVEN,2005,.30644178,0
WESTPORT,2005,.27644178,0
ATTLEBORO,2005,.49644178,0
RAYNHAM,2005,.4464418,0
MANSFIELD,2005,.48644179,0
SOMERSET,2005,.49644178,0
BERKLEY,2005,.36644179,0
BERKLEY,2006,.27102143,0
DARTMOUTH,2006,.39102143,0
ATTLEBORO,2006,.57102144,0
MANSFIELD,2006,.52102143,0
SEEKONK,2006,.51102144,0
FAIRHAVEN,2006,.36102143,0
WESTPORT,2006,.26102144,0
RAYNHAM,2006,.40102142,0
NORTH ATTLEBOROUGH,2006,.35102144,0
NEW BEDFORD,2006,.22102143,0
SOMERSET,2006,.50102144,0
RAYNHAM,2007,.21421547,0
FAIRHAVEN,2007,.32421547,0
NEW BEDFORD,2007,.23421548,0
DARTMOUTH,2007,.34421548,0
BERKLEY,2007,.24421547,0
WESTPORT,2007,.32421547,0
ATTLEBORO,2007,.61421543,0
SOMERSET,2007,.57421547,0
NORTH ATTLEBOROUGH,2007,.3842155,0
SEEKONK,2007,.56421548,0
MANSFIELD,2007,.61421543,0
NORTH ATTLEBOROUGH,2008,.45836037,0
MANSFIELD,2008,.62836039,0
RAYNHAM,2008,.28836039,0
FAIRHAVEN,2008,.35836038,0
DARTMOUTH,2008,.40836036,0
ATTLEBORO,2008,.50836033,0
BERKLEY,2008,.21836036,0
SEEKONK,2008,.55836034,0
NEW BEDFORD,2008,.26836038,0
WESTPORT,2008,.38836038,0
SOMERSET,2008,.60836035,0
SALEM,1997,.40787882,0
BEVERLY,1997,.33787879,0
MIDDLETON,1997,.41787881,0
ESSEX,1997,.4278788,0
WEST NEWBURY,1997,.27787882,0
NEWBURYPORT,1997,.3578788,0
LYNNFIELD,1997,.41787881,0
SAUGUS,1997,.36787879,0
GLOUCESTER,1997,.3978788,0
IPSWICH,1997,.43787882,0
SWAMPSCOTT,1997,.5478788,0
ROCKPORT,1997,.61787885,0
SALISBURY,1997,.2178788,0
TOPSFIELD,1997,.34787881,0
DANVERS,1997,.2978788,0
HAVERHILL,1997,.27787882,0
ANDOVER,1997,.3978788,0
PEABODY,1997,.34787881,0
MERRIMAC,1997,.2178788,0
METHUEN,1997,.3578788,0
HAMILTON,1997,.37787881,0
BOXFORD,1997,.5478788,0
NEWBURYPORT,1998,.49187881,0
IPSWICH,1998,.54187882,0
DANVERS,1998,.30187881,0
MIDDLETON,1998,.43187881,0
ESSEX,1998,.45187882,0
SALISBURY,1998,.29187882,0
HAVERHILL,1998,.31187883,0
BEVERLY,1998,.33187881,0
SAUGUS,1998,.38187882,0
SALEM,1998,.42187881,0
HAMILTON,1998,.38187882,0
BOXFORD,1998,.58187884,0
LYNNFIELD,1998,.45187882,0
ROCKPORT,1998,.63187885,0
ANDOVER,1998,.39187881,0
METHUEN,1998,.4018788,0
TOPSFIELD,1998,.36187881,0
WEST NEWBURY,1998,.27187881,0
MERRIMAC,1998,.45187882,0
PEABODY,1998,.35187882,0
GLOUCESTER,1998,.4018788,0
