,Year,Recycling Rate,Municipality
798,CY2003,,REHOBOTH
799,CY2002,19%,REHOBOTH
800,FY2001,,REHOBOTH
801,FY2000,,REHOBOTH
802,FY1999,24%,REHOBOTH
803,FY1998,14%,REHOBOTH
804,FY1997,30%,REHOBOTH
805,CY2008,37%,RUSSELL
806,CY2007,30%,RUSSELL
807,CY2006,26%,RUSSELL
808,CY2005,43%,RUSSELL
809,CY2004,45%,RUSSELL
810,CY2003,46%,RUSSELL
811,CY2002,32%,RUSSELL
812,FY2001,44%,RUSSELL
813,FY2000,45%,RUSSELL
814,FY1999,36%,RUSSELL
815,FY1998,36%,RUSSELL
816,FY1997,35%,RUSSELL
817,CY2008,47%,SEEKONK
818,CY2007,48%,SEEKONK
819,CY2006,43%,SEEKONK
820,CY2005,45%,SEEKONK
821,CY2004,44%,SEEKONK
822,CY2003,41%,SEEKONK
823,CY2002,48%,SEEKONK
824,FY2001,39%,SEEKONK
825,FY2000,44%,SEEKONK
826,FY1999,44%,SEEKONK
827,FY1998,45%,SEEKONK
828,FY1997,44%,SEEKONK
829,CY2008,20%,SOMERVILLE
830,CY2007,18%,SOMERVILLE
831,CY2006,21%,SOMERVILLE
832,CY2005,20%,SOMERVILLE
833,CY2004,22%,SOMERVILLE
834,CY2003,23%,SOMERVILLE
835,CY2002,23%,SOMERVILLE
836,FY2001,24%,SOMERVILLE
837,FY2000,22%,SOMERVILLE
838,FY1999,23%,SOMERVILLE
839,FY1998,14%,SOMERVILLE
840,FY1997,14%,SOMERVILLE
841,CY2008,36%,STOCKBRIDGE
842,CY2007,38%,STOCKBRIDGE
843,CY2006,38%,STOCKBRIDGE
844,CY2005,34%,STOCKBRIDGE
845,CY2004,33%,STOCKBRIDGE
846,CY2003,24%,STOCKBRIDGE
847,CY2002,,STOCKBRIDGE
848,FY2001,27%,STOCKBRIDGE
849,FY2000,34%,STOCKBRIDGE
850,FY1999,43%,STOCKBRIDGE
851,FY1998,43%,STOCKBRIDGE
852,FY1997,35%,STOCKBRIDGE
853,CY2008,38%,SWANSEA
854,CY2007,37%,SWANSEA
855,CY2006,34%,SWANSEA
856,CY2005,37%,SWANSEA
857,CY2004,,SWANSEA
858,CY2003,45%,SWANSEA
859,CY2002,28%,SWANSEA
860,FY2001,23%,SWANSEA
861,FY2000,28%,SWANSEA
862,FY1999,25%,SWANSEA
863,FY1998,26%,SWANSEA
864,FY1997,33%,SWANSEA
865,CY2008,25%,TYNGSBOROUGH
866,CY2007,33%,TYNGSBOROUGH
867,CY2006,23%,TYNGSBOROUGH
868,CY2005,21%,TYNGSBOROUGH
869,CY2004,20%,TYNGSBOROUGH
870,CY2003,18%,TYNGSBOROUGH
871,CY2002,12%,TYNGSBOROUGH
872,FY2001,20%,TYNGSBOROUGH
873,FY2000,20%,TYNGSBOROUGH
874,FY1999,27%,TYNGSBOROUGH
875,FY1998,17%,TYNGSBOROUGH
876,FY1997,13%,TYNGSBOROUGH
877,CY2008,14%,WAREHAM
878,CY2007,14%,WAREHAM
879,CY2006,18%,WAREHAM
880,CY2005,18%,WAREHAM
881,CY2004,13%,WAREHAM
882,CY2003,39%,WAREHAM
883,CY2002,,WAREHAM
884,FY2001,18%,WAREHAM
885,FY2000,15%,WAREHAM
886,FY1999,26%,WAREHAM
887,FY1998,,WAREHAM
888,FY1997,17%,WAREHAM
889,CY2008,46%,WENDELL
890,CY2007,46%,WENDELL
891,CY2006,46%,WENDELL
892,CY2005,45%,WENDELL
893,CY2004,48%,WENDELL
894,CY2003,50%,WENDELL
895,CY2002,49%,WENDELL
896,FY2001,45%,WENDELL
897,FY2000,52%,WENDELL
898,FY1999,42%,WENDELL
899,FY1998,44%,WENDELL
900,FY1997,49%,WENDELL
901,CY2008,32%,WESTBOROUGH
902,CY2007,30%,WESTBOROUGH
903,CY2006,30%,WESTBOROUGH
904,CY2005,22%,WESTBOROUGH
905,CY2004,23%,WESTBOROUGH
906,CY2003,20%,WESTBOROUGH
907,CY2002,27%,WESTBOROUGH
908,FY2001,33%,WESTBOROUGH
909,FY2000,,WESTBOROUGH
910,FY1999,23%,WESTBOROUGH
911,FY1998,24%,WESTBOROUGH
912,FY1997,22%,WESTBOROUGH
913,CY2008,61%,WHATELY
914,CY2007,55%,WHATELY
915,CY2006,55%,WHATELY
916,CY2005,43%,WHATELY
917,CY2004,56%,WHATELY
918,CY2003,57%,WHATELY
919,CY2002,61%,WHATELY
920,FY2001,50%,WHATELY
921,FY2000,61%,WHATELY
922,FY1999,62%,WHATELY
923,FY1998,46%,WHATELY
924,FY1997,63%,WHATELY
925,CY2008,18%,WINTHROP
926,CY2007,15%,WINTHROP
927,CY2006,12%,WINTHROP
928,CY2005,17%,WINTHROP
929,CY2004,29%,WINTHROP
930,CY2003,,WINTHROP
931,CY2002,,WINTHROP
932,FY2001,30%,WINTHROP
933,FY2000,15%,WINTHROP
934,FY1999,27%,WINTHROP
935,FY1998,15%,WINTHROP
936,FY1997,15%,WINTHROP
937,CY2008,14%,AMESBURY
938,CY2007,21%,AMESBURY
939,CY2006,15%,AMESBURY
940,CY2005,12%,AMESBURY
941,CY2004,25%,AMESBURY
942,CY2003,25%,AMESBURY
943,CY2002,24%,AMESBURY
944,FY2001,13%,AMESBURY
945,FY2000,4%,AMESBURY
946,FY1999,26%,AMESBURY
947,FY1998,31%,AMESBURY
948,FY1997,31%,AMESBURY
949,CY2008,42%,ATTLEBORO
950,CY2007,53%,ATTLEBORO
951,CY2006,49%,ATTLEBORO
952,CY2005,42%,ATTLEBORO
953,CY2004,34%,ATTLEBORO
954,CY2003,24%,ATTLEBORO
955,CY2002,31%,ATTLEBORO
956,FY2001,30%,ATTLEBORO
957,FY2000,26%,ATTLEBORO
958,FY1999,30%,ATTLEBORO
959,FY1998,33%,ATTLEBORO
960,FY1997,36%,ATTLEBORO
961,CY2008,24%,BELLINGHAM
962,CY2007,17%,BELLINGHAM
963,CY2006,17%,BELLINGHAM
964,CY2005,35%,BELLINGHAM
965,CY2004,32%,BELLINGHAM
966,CY2003,34%,BELLINGHAM
967,CY2002,30%,BELLINGHAM
968,FY2001,35%,BELLINGHAM
969,FY2000,45%,BELLINGHAM
970,FY1999,40%,BELLINGHAM
971,FY1998,31%,BELLINGHAM
972,FY1997,46%,BELLINGHAM
973,CY2008,52%,BOLTON
974,CY2007,45%,BOLTON
975,CY2006,44%,BOLTON
976,CY2005,54%,BOLTON
977,CY2004,57%,BOLTON
978,CY2003,58%,BOLTON
979,CY2002,57%,BOLTON
980,FY2001,59%,BOLTON
981,FY2000,52%,BOLTON
982,FY1999,29%,BOLTON
983,FY1998,32%,BOLTON
984,FY1997,37%,BOLTON
985,CY2008,,BRIMFIELD
986,CY2007,,BRIMFIELD
987,CY2006,,BRIMFIELD
988,CY2005,,BRIMFIELD
989,CY2004,,BRIMFIELD
990,CY2003,39%,BRIMFIELD
991,CY2002,40%,BRIMFIELD
992,FY2001,43%,BRIMFIELD
993,FY2000,41%,BRIMFIELD
994,FY1999,,BRIMFIELD
995,FY1998,50%,BRIMFIELD
996,FY1997,53%,BRIMFIELD
997,CY2008,12%,CARVER
998,CY2007,,CARVER
999,CY2006,,CARVER
1000,CY2005,,CARVER
1001,CY2004,,CARVER
1002,CY2003,,CARVER
1003,CY2002,,CARVER
1004,FY2001,,CARVER
1005,FY2000,,CARVER
1006,FY1999,,CARVER
1007,FY1998,,CARVER
1008,FY1997,,CARVER
1009,CY2008,32%,CHICOPEE
1010,CY2007,33%,CHICOPEE
1011,CY2006,29%,CHICOPEE
1012,CY2005,27%,CHICOPEE
1013,CY2004,35%,CHICOPEE
1014,CY2003,37%,CHICOPEE
1015,CY2002,34%,CHICOPEE
1016,FY2001,37%,CHICOPEE
1017,FY2000,29%,CHICOPEE
1018,FY1999,32%,CHICOPEE
1019,FY1998,32%,CHICOPEE
1020,FY1997,27%,CHICOPEE
1021,CY2008,31%,DALTON
1022,CY2007,31%,DALTON
1023,CY2006,28%,DALTON
1024,CY2005,27%,DALTON
1025,CY2004,43%,DALTON
1026,CY2003,26%,DALTON
1027,CY2002,42%,DALTON
1028,FY2001,45%,DALTON
1029,FY2000,40%,DALTON
1030,FY1999,,DALTON
1031,FY1998,31%,DALTON
1032,FY1997,43%,DALTON
1033,CY2008,20%,DRACUT
1034,CY2007,17%,DRACUT
1035,CY2006,15%,DRACUT
1036,CY2005,18%,DRACUT
1037,CY2004,17%,DRACUT
1038,CY2003,17%,DRACUT
1039,CY2002,15%,DRACUT
1040,FY2001,15%,DRACUT
1041,FY2000,15%,DRACUT
1042,FY1999,25%,DRACUT
1043,FY1998,20%,DRACUT
1044,FY1997,17%,DRACUT
1045,CY2008,22%,EASTON
1046,CY2007,,EASTON
1047,CY2006,,EASTON
1048,CY2005,,EASTON
1049,CY2004,,EASTON
1050,CY2003,,EASTON
1051,CY2002,,EASTON
1052,FY2001,,EASTON
1053,FY2000,,EASTON
1054,FY1999,,EASTON
1055,FY1998,36%,EASTON
1056,FY1997,25%,EASTON
1057,CY2008,11%,FITCHBURG
1058,CY2007,9%,FITCHBURG
1059,CY2006,7%,FITCHBURG
1060,CY2005,15%,FITCHBURG
1061,CY2004,24%,FITCHBURG
1062,CY2003,16%,FITCHBURG
1063,CY2002,17%,FITCHBURG
1064,FY2001,20%,FITCHBURG
1065,FY2000,19%,FITCHBURG
1066,FY1999,15%,FITCHBURG
1067,FY1998,18%,FITCHBURG
1068,FY1997,29%,FITCHBURG
1069,CY2008,53%,GILL
1070,CY2007,44%,GILL
1071,CY2006,48%,GILL
1072,CY2005,51%,GILL
1073,CY2004,48%,GILL
1074,CY2003,49%,GILL
1075,CY2002,52%,GILL
1076,FY2001,51%,GILL
1077,FY2000,52%,GILL
1078,FY1999,55%,GILL
1079,FY1998,51%,GILL
1080,FY1997,56%,GILL
1081,CY2008,30%,GROTON
1082,CY2007,38%,GROTON
1083,CY2006,35%,GROTON
1084,CY2005,41%,GROTON
1085,CY2004,41%,GROTON
1086,CY2003,45%,GROTON
1087,CY2002,39%,GROTON
1088,FY2001,38%,GROTON
1089,FY2000,41%,GROTON
1090,FY1999,34%,GROTON
1091,FY1998,37%,GROTON
1092,FY1997,39%,GROTON
1093,CY2008,11%,HARDWICK
1094,CY2007,15%,HARDWICK
1095,CY2006,18%,HARDWICK
1096,CY2005,24%,HARDWICK
1097,CY2004,18%,HARDWICK
1098,CY2003,21%,HARDWICK
1099,CY2002,22%,HARDWICK
1100,FY2001,17%,HARDWICK
1101,FY2000,15%,HARDWICK
1102,FY1999,17%,HARDWICK
1103,FY1998,19%,HARDWICK
1104,FY1997,18%,HARDWICK
1105,CY2008,31%,HOLBROOK
1106,CY2007,30%,HOLBROOK
1107,CY2006,32%,HOLBROOK
1108,CY2005,29%,HOLBROOK
1109,CY2004,18%,HOLBROOK
1110,CY2003,20%,HOLBROOK
1111,CY2002,19%,HOLBROOK
1112,FY2001,27%,HOLBROOK
1113,FY2000,19%,HOLBROOK
1114,FY1999,24%,HOLBROOK
1115,FY1998,26%,HOLBROOK
1116,FY1997,32%,HOLBROOK
1117,CY2008,8%,HULL
1118,CY2007,6%,HULL
1119,CY2006,5%,HULL
1120,CY2005,6%,HULL
1121,CY2004,,HULL
1122,CY2003,6%,HULL
1123,CY2002,5%,HULL
1124,FY2001,19%,HULL
1125,FY2000,3%,HULL
1126,FY1999,,HULL
1127,FY1998,,HULL
1128,FY1997,6%,HULL
1129,CY2008,19%,LEICESTER
1130,CY2007,,LEICESTER
1131,CY2006,,LEICESTER
1132,CY2005,15%,LEICESTER
1133,CY2004,,LEICESTER
1134,CY2003,,LEICESTER
1135,CY2002,,LEICESTER
1136,FY2001,,LEICESTER
1137,FY2000,,LEICESTER
1138,FY1999,25%,LEICESTER
1139,FY1998,26%,LEICESTER
1140,FY1997,28%,LEICESTER
1141,CY2008,15%,LOWELL
1142,CY2007,18%,LOWELL
1143,CY2006,10%,LOWELL
1144,CY2005,11%,LOWELL
1145,CY2004,10%,LOWELL
1146,CY2003,10%,LOWELL
1147,CY2002,10%,LOWELL
1148,FY2001,12%,LOWELL
1149,FY2000,13%,LOWELL
1150,FY1999,13%,LOWELL
1151,FY1998,24%,LOWELL
1152,FY1997,26%,LOWELL
1153,CY2008,26%,MARION
1154,CY2007,22%,MARION
1155,CY2006,22%,MARION
1156,CY2005,23%,MARION
1157,CY2004,32%,MARION
1158,CY2003,19%,MARION
1159,CY2002,19%,MARION
1160,FY2001,24%,MARION
1161,FY2000,,MARION
1162,FY1999,18%,MARION
1163,FY1998,16%,MARION
1164,FY1997,20%,MARION
1165,CY2008,35%,MELROSE
1166,CY2007,30%,MELROSE
1167,CY2006,33%,MELROSE
1168,CY2005,29%,MELROSE
1169,CY2004,39%,MELROSE
1170,CY2003,34%,MELROSE
1171,CY2002,38%,MELROSE
1172,FY2001,36%,MELROSE
1173,FY2000,34%,MELROSE
1174,FY1999,32%,MELROSE
1175,FY1998,30%,MELROSE
1176,FY1997,29%,MELROSE
1177,CY2008,22%,MILLIS
1178,CY2007,23%,MILLIS
1179,CY2006,37%,MILLIS
1180,CY2005,37%,MILLIS
1181,CY2004,26%,MILLIS
1182,CY2003,19%,MILLIS
1183,CY2002,,MILLIS
1184,FY2001,64%,MILLIS
1185,FY2000,39%,MILLIS
1186,FY1999,26%,MILLIS
1187,FY1998,40%,MILLIS
1188,FY1997,37%,MILLIS
1189,CY2008,,NAHANT
1190,CY2007,44%,NAHANT
1191,CY2006,45%,NAHANT
1192,CY2005,17%,NAHANT
1193,CY2004,13%,NAHANT
1194,CY2003,,NAHANT
1195,CY2002,,NAHANT
1196,FY2001,19%,NAHANT
1197,FY2000,24%,NAHANT
1198,FY1999,29%,NAHANT
1199,FY1998,16%,NAHANT
1200,FY1997,25%,NAHANT
1201,CY2008,25%,NEWBURY
1202,CY2007,24%,NEWBURY
1203,CY2006,22%,NEWBURY
1204,CY2005,18%,NEWBURY
1205,CY2004,28%,NEWBURY
1206,CY2003,27%,NEWBURY
1207,CY2002,31%,NEWBURY
1208,FY2001,9%,NEWBURY
1209,FY2000,,NEWBURY
1210,FY1999,16%,NEWBURY
1211,FY1998,35%,NEWBURY
1212,FY1997,37%,NEWBURY
1213,CY2008,40%,NORTHAMPTON
1214,CY2007,36%,NORTHAMPTON
1215,CY2006,48%,NORTHAMPTON
1216,CY2005,45%,NORTHAMPTON
1217,CY2004,54%,NORTHAMPTON
1218,CY2003,53%,NORTHAMPTON
1219,CY2002,56%,NORTHAMPTON
1220,FY2001,62%,NORTHAMPTON
1221,FY2000,48%,NORTHAMPTON
1222,FY1999,44%,NORTHAMPTON
1223,FY1998,44%,NORTHAMPTON
1224,FY1997,45%,NORTHAMPTON
1225,CY2008,29%,ORANGE
1226,CY2007,31%,ORANGE
1227,CY2006,22%,ORANGE
1228,CY2005,20%,ORANGE
1229,CY2004,23%,ORANGE
1230,CY2003,35%,ORANGE
1231,CY2002,27%,ORANGE
1232,FY2001,18%,ORANGE
1233,FY2000,52%,ORANGE
1234,FY1999,32%,ORANGE
1235,FY1998,71%,ORANGE
1236,FY1997,56%,ORANGE
1237,CY2008,27%,PEPPERELL
1238,CY2007,27%,PEPPERELL
1239,CY2006,36%,PEPPERELL
1240,CY2005,33%,PEPPERELL
1241,CY2004,24%,PEPPERELL
1242,CY2003,31%,PEPPERELL
1243,CY2002,53%,PEPPERELL
1244,FY2001,,PEPPERELL
1245,FY2000,,PEPPERELL
1246,FY1999,30%,PEPPERELL
1247,FY1998,45%,PEPPERELL
1248,FY1997,60%,PEPPERELL
1249,CY2008,,PRINCETON
1250,CY2007,,PRINCETON
1251,CY2006,,PRINCETON
1252,CY2005,,PRINCETON
1253,CY2004,,PRINCETON
1254,CY2003,,PRINCETON
1255,CY2002,,PRINCETON
1256,FY2001,,PRINCETON
1257,FY2000,,PRINCETON
1258,FY1999,,PRINCETON
1259,FY1998,28%,PRINCETON
1260,FY1997,28%,PRINCETON
1261,CY2008,28%,ROCHESTER
1262,CY2007,21%,ROCHESTER
1263,CY2006,22%,ROCHESTER
1264,CY2005,19%,ROCHESTER
1265,CY2004,9%,ROCHESTER
1266,CY2003,20%,ROCHESTER
1267,CY2002,19%,ROCHESTER
1268,FY2001,22%,ROCHESTER
1269,FY2000,23%,ROCHESTER
1270,FY1999,32%,ROCHESTER
1271,FY1998,21%,ROCHESTER
1272,FY1997,24%,ROCHESTER
1273,CY2008,18%,SALISBURY
1274,CY2007,33%,SALISBURY
1275,CY2006,45%,SALISBURY
1276,CY2005,45%,SALISBURY
1277,CY2004,39%,SALISBURY
1278,CY2003,37%,SALISBURY
1279,CY2002,29%,SALISBURY
1280,FY2001,26%,SALISBURY
1281,FY2000,20%,SALISBURY
1282,FY1999,23%,SALISBURY
1283,FY1998,21%,SALISBURY
1284,FY1997,14%,SALISBURY
1285,CY2008,30%,SHELBURNE
1286,CY2007,41%,SHELBURNE
1287,CY2006,45%,SHELBURNE
1288,CY2005,44%,SHELBURNE
1289,CY2004,43%,SHELBURNE
1290,CY2003,42%,SHELBURNE
1291,CY2002,44%,SHELBURNE
1292,FY2001,43%,SHELBURNE
1293,FY2000,44%,SHELBURNE
1294,FY1999,35%,SHELBURNE
1295,FY1998,30%,SHELBURNE
1296,FY1997,34%,SHELBURNE
1297,CY2008,28%,SOUTHBOROUGH
1298,CY2007,23%,SOUTHBOROUGH
1299,CY2006,24%,SOUTHBOROUGH
1300,CY2005,25%,SOUTHBOROUGH
1301,CY2004,25%,SOUTHBOROUGH
1302,CY2003,25%,SOUTHBOROUGH
1303,CY2002,27%,SOUTHBOROUGH
1304,FY2001,26%,SOUTHBOROUGH
1305,FY2000,24%,SOUTHBOROUGH
1306,FY1999,22%,SOUTHBOROUGH
1307,FY1998,18%,SOUTHBOROUGH
1308,FY1997,19%,SOUTHBOROUGH
1309,CY2008,,STOW
1310,CY2007,,STOW
1311,CY2006,,STOW
1312,CY2005,,STOW
1313,CY2004,,STOW
1314,CY2003,,STOW
1315,CY2002,,STOW
1316,FY2001,,STOW
1317,FY2000,,STOW
1318,FY1999,,STOW
1319,FY1998,11%,STOW
1320,FY1997,11%,STOW
1321,CY2008,17%,TEWKSBURY
1322,CY2007,12%,TEWKSBURY
1323,CY2006,16%,TEWKSBURY
1324,CY2005,18%,TEWKSBURY
1325,CY2004,18%,TEWKSBURY
1326,CY2003,17%,TEWKSBURY
1327,CY2002,12%,TEWKSBURY
1328,FY2001,12%,TEWKSBURY
1329,FY2000,16%,TEWKSBURY
1330,FY1999,19%,TEWKSBURY
1331,FY1998,17%,TEWKSBURY
1332,FY1997,16%,TEWKSBURY
1333,CY2008,,UXBRIDGE
1334,CY2007,12%,UXBRIDGE
1335,CY2006,12%,UXBRIDGE
1336,CY2005,18%,UXBRIDGE
1337,CY2004,23%,UXBRIDGE
1338,CY2003,11%,UXBRIDGE
1339,CY2002,,UXBRIDGE
1340,FY2001,14%,UXBRIDGE
1341,FY2000,28%,UXBRIDGE
1342,FY1999,22%,UXBRIDGE
1343,FY1998,10%,UXBRIDGE
1344,FY1997,,UXBRIDGE
1345,CY2008,44%,WASHINGTON
1346,CY2007,37%,WASHINGTON
1347,CY2006,42%,WASHINGTON
1348,CY2005,46%,WASHINGTON
1349,CY2004,,WASHINGTON
1350,CY2003,,WASHINGTON
1351,CY2002,36%,WASHINGTON
1352,FY2001,27%,WASHINGTON
1353,FY2000,55%,WASHINGTON
1354,FY1999,55%,WASHINGTON
1355,FY1998,41%,WASHINGTON
1356,FY1997,53%,WASHINGTON
1357,CY2008,18%,WEST BRIDGEWATER
1358,CY2007,23%,WEST BRIDGEWATER
1359,CY2006,18%,WEST BRIDGEWATER
1360,CY2005,21%,WEST BRIDGEWATER
1361,CY2004,26%,WEST BRIDGEWATER
1362,CY2003,27%,WEST BRIDGEWATER
1363,CY2002,30%,WEST BRIDGEWATER
1364,FY2001,,WEST BRIDGEWATER
1365,FY2000,,WEST BRIDGEWATER
1366,FY1999,36%,WEST BRIDGEWATER
1367,FY1998,36%,WEST BRIDGEWATER
1368,FY1997,39%,WEST BRIDGEWATER
1369,CY2008,44%,WESTHAMPTON
1370,CY2007,46%,WESTHAMPTON
1371,CY2006,55%,WESTHAMPTON
1372,CY2005,46%,WESTHAMPTON
1373,CY2004,48%,WESTHAMPTON
1374,CY2003,46%,WESTHAMPTON
1375,CY2002,52%,WESTHAMPTON
1376,FY2001,49%,WESTHAMPTON
1377,FY2000,44%,WESTHAMPTON
1378,FY1999,31%,WESTHAMPTON
1379,FY1998,30%,WESTHAMPTON
1380,FY1997,22%,WESTHAMPTON
1381,CY2008,38%,WILLIAMSBURG
1382,CY2007,38%,WILLIAMSBURG
1383,CY2006,37%,WILLIAMSBURG
1384,CY2005,44%,WILLIAMSBURG
1385,CY2004,38%,WILLIAMSBURG
1386,CY2003,33%,WILLIAMSBURG
1387,CY2002,39%,WILLIAMSBURG
1388,FY2001,29%,WILLIAMSBURG
1389,FY2000,,WILLIAMSBURG
1390,FY1999,32%,WILLIAMSBURG
1391,FY1998,31%,WILLIAMSBURG
1392,FY1997,31%,WILLIAMSBURG
1393,CY2008,49%,WORTHINGTON
1394,CY2007,53%,WORTHINGTON
1395,CY2006,47%,WORTHINGTON
1396,CY2005,47%,WORTHINGTON
1397,CY2004,53%,WORTHINGTON
1398,CY2003,43%,WORTHINGTON
1399,CY2002,39%,WORTHINGTON
1400,FY2001,40%,WORTHINGTON
1401,FY2000,40%,WORTHINGTON
1402,FY1999,43%,WORTHINGTON
1403,FY1998,42%,WORTHINGTON
1404,FY1997,20%,WORTHINGTON
1405,CY2008,22%,ACTON
1406,CY2007,18%,ACTON
1407,CY2006,19%,ACTON
1408,CY2005,18%,ACTON
1409,CY2004,20%,ACTON
1410,CY2003,18%,ACTON
1411,CY2002,26%,ACTON
1412,FY2001,,ACTON
1413,FY2000,41%,ACTON
1414,FY1999,49%,ACTON
1415,FY1998,48%,ACTON
1416,FY1997,47%,ACTON
1417,CY2008,,ASHBURNHAM
1418,CY2007,,ASHBURNHAM
1419,CY2006,,ASHBURNHAM
1420,CY2005,,ASHBURNHAM
1421,CY2004,,ASHBURNHAM
1422,CY2003,,ASHBURNHAM
1423,CY2002,,ASHBURNHAM
1424,FY2001,,ASHBURNHAM
1425,FY2000,,ASHBURNHAM
1426,FY1999,66%,ASHBURNHAM
1427,FY1998,64%,ASHBURNHAM
1428,FY1997,59%,ASHBURNHAM
1429,CY2008,16%,BARNSTABLE
1430,CY2007,18%,BARNSTABLE
1431,CY2006,12%,BARNSTABLE
1432,CY2005,13%,BARNSTABLE
1433,CY2004,11%,BARNSTABLE
1434,CY2003,12%,BARNSTABLE
1435,CY2002,32%,BARNSTABLE
1436,FY2001,29%,BARNSTABLE
1437,FY2000,13%,BARNSTABLE
1438,FY1999,19%,BARNSTABLE
1439,FY1998,17%,BARNSTABLE
1440,FY1997,6%,BARNSTABLE
1441,CY2008,42%,BERNARDSTON
1442,CY2007,41%,BERNARDSTON
1443,CY2006,40%,BERNARDSTON
1444,CY2005,38%,BERNARDSTON
1445,CY2004,42%,BERNARDSTON
1446,CY2003,41%,BERNARDSTON
1447,CY2002,56%,BERNARDSTON
1448,FY2001,45%,BERNARDSTON
1449,FY2000,46%,BERNARDSTON
1450,FY1999,59%,BERNARDSTON
1451,FY1998,45%,BERNARDSTON
1452,FY1997,58%,BERNARDSTON
1453,CY2008,50%,BOXFORD
1454,CY2007,50%,BOXFORD
1455,CY2006,48%,BOXFORD
1456,CY2005,45%,BOXFORD
1457,CY2004,47%,BOXFORD
1458,CY2003,45%,BOXFORD
1459,CY2002,46%,BOXFORD
1460,FY2001,47%,BOXFORD
1461,FY2000,48%,BOXFORD
1462,FY1999,48%,BOXFORD
1463,FY1998,50%,BOXFORD
1464,FY1997,47%,BOXFORD
1465,CY2008,50%,BUCKLAND
1466,CY2007,48%,BUCKLAND
1467,CY2006,53%,BUCKLAND
1468,CY2005,53%,BUCKLAND
1469,CY2004,53%,BUCKLAND
1470,CY2003,51%,BUCKLAND
1471,CY2002,53%,BUCKLAND
1472,FY2001,51%,BUCKLAND
1473,FY2000,49%,BUCKLAND
1474,FY1999,53%,BUCKLAND
1475,FY1998,39%,BUCKLAND
1476,FY1997,73%,BUCKLAND
1477,CY2008,27%,CHELMSFORD
1478,CY2007,26%,CHELMSFORD
1479,CY2006,31%,CHELMSFORD
1480,CY2005,20%,CHELMSFORD
1481,CY2004,24%,CHELMSFORD
1482,CY2003,23%,CHELMSFORD
1483,CY2002,29%,CHELMSFORD
1484,FY2001,29%,CHELMSFORD
1485,FY2000,23%,CHELMSFORD
1486,FY1999,30%,CHELMSFORD
1487,FY1998,29%,CHELMSFORD
1488,FY1997,29%,CHELMSFORD
1489,CY2008,38%,COHASSET
1490,CY2007,35%,COHASSET
1491,CY2006,35%,COHASSET
1492,CY2005,37%,COHASSET
1493,CY2004,37%,COHASSET
1494,CY2003,41%,COHASSET
1495,CY2002,44%,COHASSET
1496,FY2001,30%,COHASSET
1497,FY2000,33%,COHASSET
1498,FY1999,31%,COHASSET
1499,FY1998,30%,COHASSET
1500,FY1997,33%,COHASSET
1501,CY2008,32%,DEERFIELD
1502,CY2007,24%,DEERFIELD
1503,CY2006,23%,DEERFIELD
1504,CY2005,23%,DEERFIELD
1505,CY2004,22%,DEERFIELD
1506,CY2003,31%,DEERFIELD
1507,CY2002,28%,DEERFIELD
1508,FY2001,35%,DEERFIELD
1509,FY2000,36%,DEERFIELD
1510,FY1999,64%,DEERFIELD
1511,FY1998,32%,DEERFIELD
1512,FY1997,18%,DEERFIELD
1513,CY2008,49%,EAST BRIDGEWATER
1514,CY2007,47%,EAST BRIDGEWATER
1515,CY2006,39%,EAST BRIDGEWATER
1516,CY2005,34%,EAST BRIDGEWATER
1517,CY2004,29%,EAST BRIDGEWATER
1518,CY2003,28%,EAST BRIDGEWATER
1519,CY2002,33%,EAST BRIDGEWATER
1520,FY2001,,EAST BRIDGEWATER
1521,FY2000,,EAST BRIDGEWATER
1522,FY1999,32%,EAST BRIDGEWATER
1523,FY1998,7%,EAST BRIDGEWATER
1524,FY1997,7%,EAST BRIDGEWATER
1525,CY2008,25%,ESSEX
1526,CY2007,21%,ESSEX
1527,CY2006,22%,ESSEX
1528,CY2005,22%,ESSEX
1529,CY2004,21%,ESSEX
1530,CY2003,21%,ESSEX
1531,CY2002,32%,ESSEX
1532,FY2001,37%,ESSEX
1533,FY2000,34%,ESSEX
1534,FY1999,33%,ESSEX
1535,FY1998,37%,ESSEX
1536,FY1997,35%,ESSEX
1537,CY2008,29%,FRANKLIN
1538,CY2007,26%,FRANKLIN
1539,CY2006,26%,FRANKLIN
1540,CY2005,33%,FRANKLIN
1541,CY2004,34%,FRANKLIN
1542,CY2003,31%,FRANKLIN
1543,CY2002,37%,FRANKLIN
1544,FY2001,28%,FRANKLIN
1545,FY2000,33%,FRANKLIN
1546,FY1999,27%,FRANKLIN
1547,FY1998,29%,FRANKLIN
1548,FY1997,32%,FRANKLIN
1549,CY2008,27%,GRAFTON
1550,CY2007,,GRAFTON
1551,CY2006,10%,GRAFTON
1552,CY2005,,GRAFTON
1553,CY2004,,GRAFTON
1554,CY2003,22%,GRAFTON
1555,CY2002,,GRAFTON
1556,FY2001,27%,GRAFTON
1557,FY2000,19%,GRAFTON
1558,FY1999,20%,GRAFTON
1559,FY1998,18%,GRAFTON
1560,FY1997,18%,GRAFTON
1561,CY2008,37%,HAMILTON
1562,CY2007,26%,HAMILTON
1563,CY2006,21%,HAMILTON
1564,CY2005,19%,HAMILTON
1565,CY2004,24%,HAMILTON
1566,CY2003,23%,HAMILTON
1567,CY2002,23%,HAMILTON
1568,FY2001,23%,HAMILTON
1569,FY2000,22%,HAMILTON
