"","estimate 1"
"hunterdon",0.00186011117388875
"LOWELL",0.00185579524358731
"BERNARDSTON",0.00183754964996627
"MIDDLEFIELD",0.00179207545669749
"SALEM",0.00168636748652665
"QUINCY",0.00163081508466777
"WINCHESTER",0.00146955410023243
"SUNDERLAND",0.00137488992612006
"CHARLEMONT",0.00129173330216575
"LAKEVILLE",0.00124141186531566
"BUCKLAND",0.00119170630234762
"SANDWICH",0.00113398699673744
"ALFORD",0.000904374443409434
"WILBRAHAM",0.000869513230341077
"ERVING",0.000841809698812352
"HAMPDEN",0.000799805137591577
"MIDDLEBOROUGH",0.000797776364532416
"HOLBROOK",0.000638816315501744
"WESTFORD",0
"WESTFIELD",0
"somerset",0
"NORWELL",0
"MONTAGUE",0
