unit,year,y_recyclingrate,treated
MANSFIELD,2002,.50999999,0
NEW BEDFORD,2002,.18000001,0
SALEM,1997,.33000001,0
BEVERLY,1997,.25999999,0
MIDDLETON,1997,.34,0
ESSEX,1997,.34999999,0
WEST NEWBURY,1997,.2,0
NEWBURYPORT,1997,.28,0
LYNNFIELD,1997,.34,0
SAUGUS,1997,.28999999,0
GLOUCESTER,1997,.31999999,0
IPSWICH,1997,.36000001,0
SWAMPSCOTT,1997,.47,0
ROCKPORT,1997,.54000002,0
SALISBURY,1997,.14,0
TOPSFIELD,1997,.27000001,0
DANVERS,1997,.22,0
HAVERHILL,1997,.2,0
ANDOVER,1997,.31999999,0
PEABODY,1997,.27000001,0
MERRIMAC,1997,.14,0
METHUEN,1997,.28,0
HAMILTON,1997,.30000001,0
BOXFORD,1997,.47,0
NEWBURYPORT,1998,.41,0
IPSWICH,1998,.46000001,0
DANVERS,1998,.22,0
MIDDLETON,1998,.34999999,0
ESSEX,1998,.37,0
SALISBURY,1998,.20999999,0
HAVERHILL,1998,.23,0
BEVERLY,1998,.25,0
SAUGUS,1998,.30000001,0
SALEM,1998,.34,0
HAMILTON,1998,.30000001,0
BOXFORD,1998,.5,0
LYNNFIELD,1998,.37,0
ROCKPORT,1998,.55000001,0
ANDOVER,1998,.31,0
METHUEN,1998,.31999999,0
TOPSFIELD,1998,.28,0
WEST NEWBURY,1998,.19,0
MERRIMAC,1998,.37,0
PEABODY,1998,.27000001,0
GLOUCESTER,1998,.31999999,0
SWAMPSCOTT,1998,.47,0
BOXFORD,1999,.47999999,0
MIDDLETON,1999,.30000001,0
MERRIMAC,1999,.34999999,0
WEST NEWBURY,1999,.30000001,0
NEWBURYPORT,1999,.43000001,0
SALEM,1999,.34,0
HAVERHILL,1999,.25,0
HAMILTON,1999,.22,0
ROCKPORT,1999,.54000002,0
IPSWICH,1999,.41,0
BEVERLY,1999,.25,0
PEABODY,1999,.17,0
ESSEX,1999,.33000001,0
LYNNFIELD,1999,.28999999,0
ANDOVER,1999,.31999999,0
METHUEN,1999,.34,0
DANVERS,1999,.28999999,0
SALISBURY,1999,.23,0
TOPSFIELD,1999,.40000001,0
SAUGUS,1999,.23999999,0
SWAMPSCOTT,1999,.47999999,0
GLOUCESTER,1999,.33000001,0
HAMILTON,2000,.22,0
HAVERHILL,2000,.25,0
SALISBURY,2000,.2,0
GLOUCESTER,2000,.36000001,0
SWAMPSCOTT,2000,.47,0
BOXFORD,2000,.47999999,0
ESSEX,2000,.34,0
WEST NEWBURY,2000,.25,0
ANDOVER,2000,.31999999,0
MIDDLETON,2000,.25999999,0
MERRIMAC,2000,.22,0
ROCKPORT,2000,.51999998,0
IPSWICH,2000,.47,0
TOPSFIELD,2000,.40000001,0
SAUGUS,2000,.25,0
METHUEN,2000,.30000001,0
SALEM,2000,.18000001,0
LYNNFIELD,2000,.25999999,0
PEABODY,2000,.23,0
BEVERLY,2000,.25,0
DANVERS,2000,.28999999,0
NEWBURYPORT,2000,.34,0
NEWBURYPORT,2001,.36000001,0
TOPSFIELD,2001,.46000001,0
GLOUCESTER,2001,.36000001,0
IPSWICH,2001,.41,0
ANDOVER,2001,.34,0
SWAMPSCOTT,2001,.46000001,0
HAVERHILL,2001,.23999999,0
ROCKPORT,2001,.47,0
HAMILTON,2001,.23,0
ESSEX,2001,.37,0
MIDDLETON,2001,.36000001,0
SALISBURY,2001,.25999999,0
WEST NEWBURY,2001,.18000001,0
BEVERLY,2001,.25999999,0
METHUEN,2001,.28999999,0
SALEM,2001,.33000001,0
DANVERS,2001,.28,0
SAUGUS,2001,.33000001,0
BOXFORD,2001,.47,0
MERRIMAC,2001,.31999999,0
PEABODY,2001,.22,0
LYNNFIELD,2001,.19,0
PEABODY,2002,.17,0
MERRIMAC,2002,.31,0
NEWBURYPORT,2002,.36000001,0
DANVERS,2002,.22,0
BOXFORD,2002,.46000001,0
SAUGUS,2002,.38999999,0
ESSEX,2002,.31999999,0
HAMILTON,2002,.23,0
HAVERHILL,2002,.25,0
ROCKPORT,2002,.49000001,0
TOPSFIELD,2002,.44,0
SWAMPSCOTT,2002,.51999998,0
GLOUCESTER,2002,.38,0
SALEM,2002,.30000001,0
METHUEN,2002,.34999999,0
IPSWICH,2002,.33000001,0
LYNNFIELD,2002,.27000001,0
MIDDLETON,2002,.28,0
ANDOVER,2002,.34999999,0
BEVERLY,2002,.25999999,0
SALISBURY,2002,.28999999,0
WEST NEWBURY,2002,.28,0
WHATELY,1997,.63,0
SHELBURNE,1997,.34,0
BUCKLAND,1997,.73000002,0
WENDELL,1997,.49000001,0
LEVERETT,1997,.63,0
NORTHFIELD,1997,.31,0
BERNARDSTON,1997,.57999998,0
ROWE,1997,.34999999,0
CONWAY,1997,.40000001,0
COLRAIN,1997,.56999999,0
DEERFIELD,1997,.18000001,0
ERVING,1997,.54000002,0
SUNDERLAND,1997,.46000001,0
GREENFIELD,1997,.33000001,0
GILL,1997,.56,0
MONTAGUE,1997,.56999999,0
ASHFIELD,1997,.38,0
ORANGE,1997,.56,0
WARWICK,1997,.22,0
CHARLEMONT,1997,.54000002,0
SHUTESBURY,1997,.30000001,0
HEATH,1997,.30000001,0
NEW SALEM,1997,.34999999,0
MONTAGUE,1998,.31999999,0
CHARLEMONT,1998,.47999999,0
GREENFIELD,1998,.37,0
WARWICK,1998,.44999999,0
ORANGE,1998,.70999998,0
SUNDERLAND,1998,.28999999,0
SHUTESBURY,1998,.41999999,0
CONWAY,1998,.44,0
LEVERETT,1998,.60000002,0
COLRAIN,1998,.62,0
HEATH,1998,.23,0
ASHFIELD,1998,.41,0
DEERFIELD,1998,.31999999,0
NORTHFIELD,1998,.40000001,0
NEW SALEM,1998,.41999999,0
GILL,1998,.50999999,0
BUCKLAND,1998,.38999999,0
ROWE,1998,.43000001,0
WENDELL,1998,.44,0
WHATELY,1998,.46000001,0
SHELBURNE,1998,.30000001,0
BERNARDSTON,1998,.44999999,0
ERVING,1998,.44999999,0
WHATELY,1999,.62,0
ASHFIELD,1999,.43000001,0
BERNARDSTON,1999,.58999997,0
NEW SALEM,1999,.44999999,0
ERVING,1999,.47999999,0
NORTHFIELD,1999,.44999999,0
WENDELL,1999,.41999999,0
DEERFIELD,1999,.63999999,0
SHUTESBURY,1999,.44,0
HEATH,1999,.34,0
SUNDERLAND,1999,.41999999,0
COLRAIN,1999,.56,0
CONWAY,1999,.38,0
ORANGE,1999,.31999999,0
WARWICK,1999,.44,0
GILL,1999,.55000001,0
LEVERETT,1999,.56,0
BUCKLAND,1999,.52999997,0
SHELBURNE,1999,.34999999,0
CHARLEMONT,1999,.44999999,0
MONTAGUE,1999,.38,0
ROWE,1999,.31999999,0
GREENFIELD,1999,.34,0
WHATELY,2000,.61000001,0
SUNDERLAND,2000,.44,0
NEW SALEM,2000,.47,0
GREENFIELD,2000,.37,0
BERNARDSTON,2000,.46000001,0
CHARLEMONT,2000,.38,0
CONWAY,2000,.38999999,0
COLRAIN,2000,.57999998,0
GILL,2000,.51999998,0
HEATH,2000,.31999999,0
WARWICK,2000,.63,0
LEVERETT,2000,.58999997,0
BUCKLAND,2000,.49000001,0
MONTAGUE,2000,.44999999,0
SHELBURNE,2000,.44,0
ASHFIELD,2000,.41999999,0
SHUTESBURY,2000,.25,0
ROWE,2000,.28999999,0
WENDELL,2000,.51999998,0
ERVING,2000,.31999999,0
ORANGE,2000,.51999998,0
NORTHFIELD,2000,.43000001,0
DEERFIELD,2000,.36000001,0
BERNARDSTON,2001,.44999999,0
SUNDERLAND,2001,.43000001,0
WARWICK,2001,.56,0
CONWAY,2001,.40000001,0
NEW SALEM,2001,.5,0
SHUTESBURY,2001,.51999998,0
BUCKLAND,2001,.50999999,0
ORANGE,2001,.18000001,0
NORTHFIELD,2001,.36000001,0
GREENFIELD,2001,.28999999,0
COLRAIN,2001,.60000002,0
DEERFIELD,2001,.34999999,0
MONTAGUE,2001,.47999999,0
CHARLEMONT,2001,.37,0
ASHFIELD,2001,.54000002,0
ERVING,2001,.43000001,0
LEVERETT,2001,.63999999,0
HEATH,2001,.23,0
WHATELY,2001,.5,0
GILL,2001,.50999999,0
SHELBURNE,2001,.43000001,0
ROWE,2001,.25999999,0
WENDELL,2001,.44999999,0
NORTHFIELD,2002,.31999999,0
SHUTESBURY,2002,.50999999,0
CONWAY,2002,.44999999,0
LEVERETT,2002,.67000002,0
ERVING,2002,.41999999,0
BERNARDSTON,2002,.56,0
COLRAIN,2002,.60000002,0
CHARLEMONT,2002,.47999999,0
NEW SALEM,2002,.47,0
ASHFIELD,2002,.5,0
SHELBURNE,2002,.44,0
GILL,2002,.51999998,0
SUNDERLAND,2002,.41,0
