"estimates","var","year"
-0.0663560753993983,6.25386686455915e-05,2002
-0.0991275203016097,8.05592292593712e-05,2003
-0.0340024787230135,8.05789804832393e-05,2004
-0.00526384530849157,6.42700455031132e-05,2005
-0.00313081143239946,7.19752557488567e-05,2006
-0.00579271651285897,9.66883172152666e-05,2007
-0.0242315019722673,0.000110148982184737,2008
