unit,year,y_recyclingrate,treated
NORTH ATTLEBOROUGH,2008,.45836037,0
MANSFIELD,2008,.62836039,0
RAYNHAM,2008,.28836039,0
FAIRHAVEN,2008,.35836038,0
DARTMOUTH,2008,.40836036,0
ATTLEBORO,2008,.50836033,0
BERKLEY,2008,.21836036,0
SEEKONK,2008,.55836034,0
NEW BEDFORD,2008,.26836038,0
WESTPORT,2008,.38836038,0
SOMERSET,2008,.60836035,0
SALEM,1997,.40787882,0
BEVERLY,1997,.33787879,0
MIDDLETON,1997,.41787881,0
ESSEX,1997,.4278788,0
WEST NEWBURY,1997,.27787882,0
NEWBURYPORT,1997,.3578788,0
LYNNFIELD,1997,.41787881,0
SAUGUS,1997,.36787879,0
GLOUCESTER,1997,.3978788,0
IPSWICH,1997,.43787882,0
SWAMPSCOTT,1997,.5478788,0
ROCKPORT,1997,.61787885,0
SALISBURY,1997,.2178788,0
TOPSFIELD,1997,.34787881,0
DANVERS,1997,.2978788,0
HAVERHILL,1997,.27787882,0
ANDOVER,1997,.3978788,0
PEABODY,1997,.34787881,0
MERRIMAC,1997,.2178788,0
METHUEN,1997,.3578788,0
HAMILTON,1997,.37787881,0
BOXFORD,1997,.5478788,0
NEWBURYPORT,1998,.49187881,0
IPSWICH,1998,.54187882,0
DANVERS,1998,.30187881,0
MIDDLETON,1998,.43187881,0
ESSEX,1998,.45187882,0
SALISBURY,1998,.29187882,0
HAVERHILL,1998,.31187883,0
BEVERLY,1998,.33187881,0
SAUGUS,1998,.38187882,0
SALEM,1998,.42187881,0
HAMILTON,1998,.38187882,0
BOXFORD,1998,.58187884,0
LYNNFIELD,1998,.45187882,0
ROCKPORT,1998,.63187885,0
ANDOVER,1998,.39187881,0
METHUEN,1998,.4018788,0
TOPSFIELD,1998,.36187881,0
WEST NEWBURY,1998,.27187881,0
MERRIMAC,1998,.45187882,0
PEABODY,1998,.35187882,0
GLOUCESTER,1998,.4018788,0
SWAMPSCOTT,1998,.55187881,0
BOXFORD,1999,.56606191,0
MIDDLETON,1999,.38606194,0
MERRIMAC,1999,.43606192,0
WEST NEWBURY,1999,.38606194,0
NEWBURYPORT,1999,.5160619,0
SALEM,1999,.42606193,0
HAVERHILL,1999,.33606192,0
HAMILTON,1999,.30606192,0
ROCKPORT,1999,.62606198,0
IPSWICH,1999,.49606192,0
BEVERLY,1999,.33606192,0
PEABODY,1999,.25606194,0
ESSEX,1999,.41606194,0
LYNNFIELD,1999,.37606192,0
ANDOVER,1999,.40606192,0
METHUEN,1999,.42606193,0
DANVERS,1999,.37606192,0
SALISBURY,1999,.31606191,0
TOPSFIELD,1999,.48606193,0
SAUGUS,1999,.3260619,0
SWAMPSCOTT,1999,.56606191,0
GLOUCESTER,1999,.41606194,0
HAMILTON,2000,.31448603,0
HAVERHILL,2000,.34448603,0
SALISBURY,2000,.29448602,0
GLOUCESTER,2000,.45448604,0
SWAMPSCOTT,2000,.56448603,0
BOXFORD,2000,.57448602,0
ESSEX,2000,.43448603,0
WEST NEWBURY,2000,.34448603,0
ANDOVER,2000,.41448602,0
MIDDLETON,2000,.35448602,0
MERRIMAC,2000,.31448603,0
ROCKPORT,2000,.61448598,0
IPSWICH,2000,.56448603,0
TOPSFIELD,2000,.49448603,0
SAUGUS,2000,.34448603,0
METHUEN,2000,.39448604,0
SALEM,2000,.27448604,0
LYNNFIELD,2000,.35448602,0
PEABODY,2000,.32448602,0
BEVERLY,2000,.34448603,0
DANVERS,2000,.38448602,0
NEWBURYPORT,2000,.43448603,0
NEWBURYPORT,2001,.45830771,0
TOPSFIELD,2001,.55830771,0
GLOUCESTER,2001,.45830771,0
IPSWICH,2001,.5083077,0
ANDOVER,2001,.4383077,0
SWAMPSCOTT,2001,.55830771,0
HAVERHILL,2001,.33830768,0
ROCKPORT,2001,.5683077,0
HAMILTON,2001,.32830769,0
ESSEX,2001,.4683077,0
MIDDLETON,2001,.45830771,0
SALISBURY,2001,.35830769,0
WEST NEWBURY,2001,.27830771,0
BEVERLY,2001,.35830769,0
METHUEN,2001,.38830769,0
SALEM,2001,.42830771,0
DANVERS,2001,.3783077,0
SAUGUS,2001,.42830771,0
BOXFORD,2001,.5683077,0
MERRIMAC,2001,.41830769,0
PEABODY,2001,.3183077,0
LYNNFIELD,2001,.2883077,0
SAUGUS,2008,.46637723,0
SALISBURY,2008,.30637723,0
ANDOVER,2008,.59637725,0
LYNNFIELD,2008,.38637722,0
HAVERHILL,2008,.35637721,0
MIDDLETON,2008,.28637722,0
ROCKPORT,2008,.56637722,0
NEWBURYPORT,2008,.50637722,0
BOXFORD,2008,.62637722,0
HAMILTON,2008,.49637723,0
DANVERS,2008,.27637723,0
WEST NEWBURY,2008,.39637724,0
IPSWICH,2008,.59637725,0
ESSEX,2008,.37637722,0
GLOUCESTER,2008,.48637724,0
SALEM,2008,.31637722,0
TOPSFIELD,2008,.72637725,0
MERRIMAC,2008,.39637724,0
BEVERLY,2008,.38637722,0
SWAMPSCOTT,2008,.37637722,0
PEABODY,2008,.30637723,0
METHUEN,2008,.41637722,0
WHATELY,1997,.67609632,0
SHELBURNE,1997,.38609633,0
BUCKLAND,1997,.77609634,0
WENDELL,1997,.53609633,0
LEVERETT,1997,.67609632,0
NORTHFIELD,1997,.35609633,0
BERNARDSTON,1997,.62609631,0
ROWE,1997,.39609632,0
CONWAY,1997,.44609633,0
COLRAIN,1997,.61609632,0
DEERFIELD,1997,.22609633,0
ERVING,1997,.58609635,0
SUNDERLAND,1997,.50609636,0
GREENFIELD,1997,.37609634,0
GILL,1997,.60609633,0
MONTAGUE,1997,.61609632,0
ASHFIELD,1997,.42609632,0
ORANGE,1997,.60609633,0
WARWICK,1997,.26609632,0
CHARLEMONT,1997,.58609635,0
SHUTESBURY,1997,.34609634,0
HEATH,1997,.34609634,0
NEW SALEM,1997,.39609632,0
MONTAGUE,1998,.3681531,0
CHARLEMONT,1998,.52815312,0
GREENFIELD,1998,.41815311,0
WARWICK,1998,.49815309,0
ORANGE,1998,.75815308,0
SUNDERLAND,1998,.33815309,0
SHUTESBURY,1998,.46815309,0
CONWAY,1998,.4881531,0
LEVERETT,1998,.64815313,0
COLRAIN,1998,.66815311,0
HEATH,1998,.27815312,0
ASHFIELD,1998,.4581531,0
DEERFIELD,1998,.3681531,0
NORTHFIELD,1998,.44815311,0
NEW SALEM,1998,.46815309,0
GILL,1998,.55815309,0
BUCKLAND,1998,.43815309,0
ROWE,1998,.47815311,0
WENDELL,1998,.4881531,0
WHATELY,1998,.50815314,0
SHELBURNE,1998,.34815311,0
BERNARDSTON,1998,.49815309,0
ERVING,1998,.49815309,0
WHATELY,1999,.66997743,0
ASHFIELD,1999,.47997746,0
BERNARDSTON,1999,.6399774,0
