"","estimate 1"
"ATTLEBORO",0.00176051875781453
"hunterdon",0.00159592908541532
"BERNARDSTON",0.00159336934989399
"QUINCY",0.00147947013794677
"WINCHESTER",0.00142657992228849
"SUNDERLAND",0.00142212943977308
"SALEM",0.0014000087459495
"LOWELL",0.00136220090685388
"NORWELL",0.00123648604002836
"LAKEVILLE",0.00106258623821933
"SANDWICH",0.00105611068785867
"CHARLEMONT",0.000964939967875214
"ALFORD",0.000835755740069158
"WILBRAHAM",0.000823671128112938
"MIDDLEBOROUGH",0.000809447668097563
"BUCKLAND",0.000732728272923377
"somerset",0.000725988125415404
"HOLBROOK",0.000303698413861366
"WESTFORD",0
"WESTFIELD",0
"MONTAGUE",0
"HAMPDEN",0
"ERVING",0
