,County,Population,Disposal and Recycling Generation,MSW Disposal,Bulky Disposal,Total Disposal,MSW Recycled,MSW % Recycled,Total Recycled w/ Add Ons,Total % Recycled
0,Atlantic,"252,552","747,439.03","2 50,800","85,209.47","336,009.47","108,155.27",30.1%,"411,429.56",55.0%
1,Bergen,"884,118","2,017,281.80","6 27,603","277,878.22","905,481.22","446,665.66",41.6%,"1,111,800.58",55.1%
2,Burlington,"423,394","970,417.07","3 44,148","90,770.39","434,918.39","196,713.41",36.4%,"535,498.68",55.2%
3,Camden,"508,932","994,493.73","3 75,518","76,784.34","452,302.34","185,787.10",33.1%,"542,191.39",54.5%
4,Cape May,"102,326","385,025.33","9 2,650","66,560.64","159,210.64","68,521.08",42.5%,"225,814.69",58.6%
5,Cumberland,"146,438","539,040.47","1 19,815","48,286.27","168,101.27","176,266.08",59.5%,"370,939.20",68.8%
6,Essex,"793,633","1,572,086.21","4 90,753","112,957.47","603,710.47","318,546.50",39.4%,"968,375.74",61.6%
7,Gloucester,"254,673","635,059.39","1 99,013","64,054.53","263,067.53","176,221.32",47.0%,"371,991.86",58.6%
8,Hudson,"608,975","1,242,918.18","3 86,146","227,818.86","613,964.86","140,296.06",26.6%,"628,953.32",50.6%
9,Hunterdon,"121,989","218,881.81","7 8,938","32,398.49","111,336.49","37,429.39",32.2%,"107,545.32",49.1%
10,Mercer,"350,761","797,754.30","2 46,758","83,108.14","329,866.14","123,867.85",33.4%,"467,888.16",58.7%
11,Middlesex,"750,162","1,925,187.25","5 50,571","165,994.31","716,565.31","349,006.35",38.8%,"1,208,621.94",62.8%
12,Monmouth,"615,301","1,416,174.84","4 41,780","194,946.23","636,726.23","286,831.83",39.4%,"779,448.61",55.0%
13,Morris,"470,212","1,055,990.93","3 06,058","91,341.12","397,399.12","229,406.22",42.8%,"658,591.81",62.4%
14,Ocean,"510,916","1,301,513.75","4 01,816","142,397.42","544,213.42","206,614.09",34.0%,"757,300.34",58.2%
15,Passaic,"489,049","1,190,118.72","3 86,457","169,952.86","556,409.86","197,931.97",33.9%,"633,708.86",53.2%
16,Salem,"64,285","144,230.41","3 9,990","23,198.84","63,188.84","26,198.19",39.6%,"81,041.57",56.2%
17,Somerset,"297,490","698,125.90","2 39,451","127,626.57","367,077.57","86,215.25",26.5%,"331,048.33",47.4%
18,Sussex,"144,166","248,849.23","7 8,899","28,704.97","107,603.97","40,246.23",33.8%,"141,245.26",56.8%
19,Union,"522,541","1,082,315.66","3 47,143","149,951.53","497,094.53","157,941.85",31.3%,"585,221.13",54.1%
20,Warren,"102,437","210,146.69","6 5,935","25,842.82","91,777.82","28,582.95",30.2%,"118,368.87",56.3%
