,County,Population,Disposal and Recycling Generation,MSW Disposal,Bulky Disposal,Total Disposal,MSW Recycled,MSW % Recycled,Total Recycled w/ Add Ons,Total % Recycled
0,Atlantic,"274,549","856,803","201,715.26","91,452.34","293,167.60","147,896.04",42%,"563,635.84",66%
1,Bergen,"905,116","2,120,107","601,387.82","322,730.34","924,118.16","541,521.40",47%,"1,195,988.54",56%
2,Burlington,"448,734","1,027,123","288,431.13","121,278.22","409,709.35","255,934.58",47%,"617,413.53",60%
3,Camden,"513,657","1,301,709","366,968.36","244,669.98","611,638.34","234,829.74",39%,"690,070.43",53%
4,Cape May,"97,265","427,051","87,640.27","87,008.93","174,649.20","78,042.97",47%,"252,401.47",59%
5,Cumberland,"156,898","438,985","95,705.51","68,733.61","164,439.12","138,020.33",59%,"274,546.36",63%
6,Essex,"783,969","1,550,683","412,443.75","240,567.52","653,011.27","241,279.84",37%,"897,671.46",58%
7,Gloucester,"288,288","830,557","188,560.69","153,801.87","342,362.56","235,470.04",56%,"488,194.06",59%
8,Hudson,"634,266","1,293,229","377,136.44","142,807.72","519,944.16","209,049.57",36%,"773,285.03",60%
9,Hunterdon,"128,349","292,478","71,343.84","35,316.63","106,660.47","59,083.13",45%,"185,817.93",64%
10,Mercer,"366,513","851,386","234,342.07","117,285.32","351,627.39","196,992.75",46%,"499,759.10",59%
11,Middlesex,"809,858","4,096,685","534,183.03","231,785.81","765,968.84","440,335.10",45%,"3,330,715.83",81%
12,Monmouth,"630,380","1,618,882","405,500.71","245,520.87","651,021.58","343,734.78",46%,"967,860.50",60%
13,Morris,"492,276","1,173,413","278,521.68","118,120.61","396,642.29","292,194.66",51%,"776,770.57",66%
14,Ocean,"576,567","1,399,791","387,930.85","225,167.84","613,098.69","248,368.95",39%,"786,692.06",56%
15,Passaic,"501,226","1,376,340","469,836.65","225,318.32","695,154.97","213,967.93",31%,"681,185.27",49%
16,Salem,"66,083","196,628","36,135.59","78,394.61","114,530.20","36,065.06",50%,"82,097.46",42%
17,Somerset,"323,444","1,039,260","250,589.60","137,149.97","387,739.57","112,754.72",31%,"651,520.56",63%
18,Sussex,"149,265","272,294","71,457.58","27,093.55","98,551.13","48,609.65",40%,"173,743.16",64%
19,Union,"536,499","1,477,747","351,738.26","211,131.66","562,869.92","210,218.31",37%,"914,876.61",62%
20,Warren,"108,692","181,535","54,726.39","25,728.70","80,455.09","29,220.20",35%,"101,080.32",56%
