,County,Population,Disposal and Recycling Generation,MSW Disposal,Bulky Disposal,Total Disposal,MSW Recycled,MSW % Recycled,Total Recycled w/ Add Ons,Total % Recycled
0,Atlantic,"252,552","1 ,171,485","325,816.49","1 19,088","444,904.30","111,375.38",25.5%,"726,580.84",62.0%
1,Bergen,"884,118","1 ,940,714","685,186.50","2 20,315","905,501.53","476,004.30",41.0%,"1,035,212.70",53.3%
2,Burlington,"423,394","1 ,077,463","357,025.03","7 3,014","430,038.64","257,095.65",41.9%,"647,424.84",60.1%
3,Camden,"508,932","1 ,009,147","377,586.62","8 2,200","459,787.02","196,839.25",34.3%,"549,359.56",54.4%
4,Cape May,"102,326","5 04,744","98,150.80","9 6,495","194,645.54","75,248.79",43.4%,"310,098.83",61.4%
5,Cumberland,"146,438","5 68,736","109,469.50","6 2,561","172,030.43","151,851.69",58.1%,"396,705.17",69.8%
6,Essex,"793,633","1 ,570,847","571,659.33","1 48,722","720,381.12","329,206.12",36.5%,"850,466.13",54.1%
7,Gloucester,"254,673","6 26,261","216,785.30","6 6,991","283,775.85","174,242.14",44.6%,"342,485.46",54.7%
8,Hudson,"608,975","1 ,407,610","434,825.90","1 64,294","599,119.98","132,015.38",23.3%,"808,489.66",57.4%
9,Hunterdon,"121,989","2 05,340","79,710.43","3 9,652","119,362.91","29,223.52",26.8%,"85,976.82",41.9%
10,Mercer,"350,761","1 ,008,937","267,210.20","1 26,336","393,546.55","179,892.15",40.2%,"615,390.09",61.0%
11,Middlesex,"750,162","2 ,297,482","618,890.66","2 13,472","832,362.45","356,065.41",36.5%,"1,465,119.93",63.8%
12,Monmouth,"615,301","1 ,660,642","490,083.77","2 33,947","724,031.06","337,450.39",40.8%,"936,611.19",56.4%
13,Morris,"470,212","1 ,269,825","358,331.10","1 41,786","500,117.49","236,069.85",39.7%,"769,707.26",60.6%
14,Ocean,"510,916","1 ,432,261","424,756.21","1 54,245","579,001.63","219,158.42",34.0%,"853,259.41",59.6%
15,Passaic,"489,049","1 ,139,398","418,820.20","1 37,305","556,125.46","205,191.89",32.9%,"583,272.49",51.2%
16,Salem,"64,285","1 30,302","40,592.10","3 2,373","72,965.02","22,124.77",35.3%,"57,337.39",44.0%
17,Somerset,"297,490","8 27,713","264,848.87","1 68,277","433,125.99","114,729.36",30.2%,"394,586.56",47.7%
18,Sussex,"144,166","2 53,196","85,711.00","4 1,442","127,152.67","40,055.39",31.8%,"126,043.31",49.8%
19,Union,"522,541","1 ,335,279","395,389.69","2 00,660","596,049.77","174,077.17",30.6%,"739,229.25",55.4%
20,Warren,"102,437","2 07,852","66,930.82","3 1,807","98,738.11","26,199.64",28.1%,"109,113.59",52.5%
