,County,Population,Disposal and Recycling Generation,MSW Disposal,Bulky Disposal,Total Disposal,MSW Recycled,MSW % Recycled,Total Recycled w/ Add Ons,Total % Recycled
0,Atlantic,"252,552","920,383","321,432","1 23,242","444,674.00","121,970.75",27.5%,"475,708.64",51.7%
1,Bergen,"884,118","2,111,129","708,354","2 88,894","997,248.00","533,647.27",43.0%,"1,113,880.52",52.8%
2,Burlington,"423,394","1,092,554","355,890","1 30,673","486,563.14","241,147.45",40.4%,"605,990.53",55.5%
3,Camden,"508,932","1,062,179","373,754","1 77,439","551,193.00","171,636.14",31.5%,"510,986.03",48.1%
4,Cape May,"102,326","605,555","136,161","8 4,788","220,948.38","69,669.79",33.8%,"384,607.05",63.5%
5,Cumberland,"146,438","526,259","174,498","2 8,900","203,398.00","113,859.40",39.5%,"322,861.21",61.4%
6,Essex,"793,633","1,803,741","588,419","2 58,838","847,257.00","358,949.21",37.9%,"956,483.96",53.0%
7,Gloucester,"254,673","630,682","226,650","9 0,630","317,280.29","163,547.90",41.9%,"313,401.36",49.7%
8,Hudson,"608,975","1,734,401","508,349","2 08,567","716,916.00","234,992.84",31.6%,"1,017,485.15",58.7%
9,Hunterdon,"121,989","242,696","102,725","5 4,286","157,011.57","28,640.15",21.8%,"85,684.20",35.3%
10,Mercer,"350,761","948,866","267,040","1 04,163","371,203.52","164,448.97",38.1%,"577,662.89",60.9%
11,Middlesex,"750,162","2,662,046","614,876","3 31,285","946,161.00","409,185.97",40.0%,"1,715,884.90",64.5%
12,Monmouth,"615,301","1,629,133","538,894","2 38,995","777,889.00","313,616.82",36.8%,"851,244.27",52.3%
13,Morris,"470,212","1,145,060","403,988","1 77,479","581,467.00","227,138.25",36.0%,"563,592.56",49.2%
14,Ocean,"510,916","1,418,245","476,221","1 84,115","660,335.85","202,560.48",29.8%,"757,909.36",53.4%
15,Passaic,"489,049","1,173,131","406,334","1 61,963","568,296.73","196,939.05",32.6%,"604,834.60",51.6%
16,Salem,"64,285","133,307","34,323","4 7,335","81,658.14","20,663.87",37.6%,"51,649.32",38.7%
17,Somerset,"297,490","805,978","280,603","1 54,263","434,865.28","138,542.51",33.1%,"371,112.48",46.0%
18,Sussex,"144,166","274,769","94,967","4 7,955","142,921.44","34,683.98",26.8%,"131,847.36",48.0%
19,Union,"522,541","1,489,082","415,457","1 96,015","611,472.00","200,602.08",32.6%,"877,609.99",58.9%
20,Warren,"102,437","223,673","77,753","3 4,871","112,624.27","26,801.74",25.6%,"111,048.87",49.6%
